dates,tide
1999-09-25 22:20:00+00:00,0.95
1999-11-12 22:20:00+00:00,-0.27
1999-11-19 22:30:00+00:00,0.35
1999-11-28 22:20:00+00:00,-0.79
1999-12-05 22:30:00+00:00,0.79
2000-01-31 22:20:00+00:00,0.31
2000-02-16 22:20:00+00:00,0.76
2000-04-20 22:20:00+00:00,0.25
2000-05-22 22:20:00+00:00,-0.35
2000-06-07 22:20:00+00:00,-0.87
2000-11-14 22:20:00+00:00,-0.01
2000-12-07 22:20:00+00:00,0.4
2000-12-16 22:20:00+00:00,-0.83
2001-01-01 22:20:00+00:00,-0.57
2001-01-17 22:20:00+00:00,-0.31
2001-04-07 22:20:00+00:00,1.06
2001-08-13 22:20:00+00:00,-0.3
2001-08-29 22:20:00+00:00,0.47
2001-10-23 22:20:00+00:00,-0.49
2001-11-01 22:10:00+00:00,0.69
2002-01-04 22:20:00+00:00,-0.85
2002-01-20 22:20:00+00:00,-0.55
2002-02-05 22:20:00+00:00,-0.33
2002-02-12 22:20:00+00:00,0.58
2002-03-09 22:20:00+00:00,0.49
2002-04-01 22:20:00+00:00,-0.59
2002-05-12 22:20:00+00:00,0.68
2002-07-15 22:10:00+00:00,-0.9
2002-10-03 22:10:00+00:00,0.82
2002-10-10 22:20:00+00:00,-0.55
2002-12-29 22:20:00+00:00,0.24
2003-01-07 22:10:00+00:00,-0.61
2003-01-14 22:20:00+00:00,0.43
2003-02-24 22:20:00+00:00,-0.36
2003-03-12 22:20:00+00:00,-0.16
2003-05-15 22:20:00+00:00,1.14
2003-08-11 22:00:00+00:00,0.81
2003-08-27 22:00:00+00:00,0.77
2003-09-20 22:10:00+00:00,0.01
2003-10-13 22:20:00+00:00,0.02
2003-11-07 22:20:00+00:00,0.86
2003-11-23 22:20:00+00:00,1.11
2003-12-01 22:10:00+00:00,-0.26
2003-12-08 22:10:00+00:00,0.64
2003-12-17 22:10:00+00:00,-0.38
2004-01-18 22:10:00+00:00,0.62
2004-01-25 22:10:00+00:00,-0.55
2004-01-26 22:20:00+00:00,-0.66
2004-03-29 22:10:00+00:00,-0.21
2004-03-30 22:20:00+00:00,-0.03
2004-04-06 22:20:00+00:00,0.58
2004-04-07 22:10:00+00:00,0.05
2004-04-23 22:10:00+00:00,-0.31
2004-05-09 22:10:00+00:00,-0.8
2004-09-05 22:20:00+00:00,-0.54
2004-09-30 22:10:00+00:00,0.25
2004-10-07 22:20:00+00:00,-0.13
2004-10-31 22:20:00+00:00,-0.06
2004-11-09 22:20:00+00:00,0.67
2004-12-18 22:20:00+00:00,-0.64
2005-01-27 22:20:00+00:00,0.14
2005-03-16 22:20:00+00:00,-0.56
2005-04-26 22:10:00+00:00,0.08
2005-05-04 22:20:00+00:00,0.64
2005-05-28 22:10:00+00:00,-0.83
2005-06-05 22:20:00+00:00,0.84
2005-06-21 22:20:00+00:00,0.99
2005-06-29 22:10:00+00:00,-0.37
2005-08-24 22:20:00+00:00,-0.7
2005-09-08 22:20:00+00:00,-0.36
2005-09-17 22:10:00+00:00,1.08
2005-09-25 22:20:00+00:00,-0.35
2005-10-10 22:20:00+00:00,-0.55
2005-10-18 22:20:00+00:00,0.69
2005-11-28 22:20:00+00:00,0.61
2005-12-30 22:20:00+00:00,0.93
2006-01-31 22:20:00+00:00,0.11
2006-02-08 22:20:00+00:00,0.36
2006-02-16 22:20:00+00:00,-0.12
2006-03-20 22:20:00+00:00,-0.51
2006-04-13 22:20:00+00:00,0.73
2006-05-23 22:20:00+00:00,0.58
2006-05-31 22:20:00+00:00,-0.48
2006-06-16 22:20:00+00:00,-0.8
2006-06-24 22:20:00+00:00,0.85
2006-07-26 22:20:00+00:00,0.36
2006-08-10 22:30:00+00:00,0.67
2006-08-26 22:30:00+00:00,0.16
2006-09-12 22:20:00+00:00,-0.67
2006-10-05 22:20:00+00:00,1.15
2006-10-30 22:20:00+00:00,-0.39
2006-11-30 22:30:00+00:00,0.04
2006-12-08 22:20:00+00:00,-0.29
2006-12-09 22:20:00+00:00,-0.5
2006-12-16 22:30:00+00:00,0.34
2006-12-17 22:20:00+00:00,0.58
2007-01-01 22:30:00+00:00,0.83
2007-01-02 22:20:00+00:00,0.88
2007-01-25 22:20:00+00:00,-0.77
2007-01-26 22:20:00+00:00,-0.52
2007-02-11 22:20:00+00:00,-0.24
2007-02-27 22:20:00+00:00,0.45
2007-04-08 22:20:00+00:00,-0.46
2007-07-13 22:20:00+00:00,0.91
2007-08-14 22:20:00+00:00,0.37
2007-09-06 22:20:00+00:00,0.21
2007-09-23 22:20:00+00:00,0.6
2007-10-08 22:20:00+00:00,0.81
2007-10-17 22:20:00+00:00,-0.41
2007-11-09 22:20:00+00:00,0.76
2007-11-18 22:20:00+00:00,-0.44
2008-01-28 22:20:00+00:00,-0.63
2008-03-09 22:20:00+00:00,0.3
2008-03-25 22:20:00+00:00,-0.2
2008-04-10 22:20:00+00:00,-0.7
2008-06-29 22:20:00+00:00,0.42
2008-12-22 22:20:00+00:00,0.23
2009-01-23 22:20:00+00:00,0.66
2009-01-31 22:10:00+00:00,-0.61
2009-02-15 22:20:00+00:00,-0.64
2009-02-24 22:20:00+00:00,0.78
2009-03-12 22:20:00+00:00,0.43
2009-04-13 22:20:00+00:00,-0.3
2009-05-31 22:20:00+00:00,-0.53
2009-06-16 22:20:00+00:00,-0.45
2009-08-03 22:20:00+00:00,0.72
2009-09-04 22:20:00+00:00,0.77
