dates,nzd0474-0000,nzd0474-0001,nzd0474-0002,nzd0474-0003,nzd0474-0004,nzd0474-0005,nzd0474-0006,nzd0474-0007,nzd0474-0008,nzd0474-0009,nzd0474-0010,nzd0474-0011,nzd0474-0012,nzd0474-0013,nzd0474-0014,nzd0474-0015,nzd0474-0016,nzd0474-0017,nzd0474-0018,nzd0474-0019,nzd0474-0020,nzd0474-0021,nzd0474-0022,nzd0474-0023,nzd0474-0024,nzd0474-0025,nzd0474-0026,nzd0474-0027,nzd0474-0028,nzd0474-0029,nzd0474-0030,nzd0474-0031,nzd0474-0032,nzd0474-0033,nzd0474-0034,nzd0474-0035,nzd0474-0036,nzd0474-0037,nzd0474-0038,nzd0474-0039,nzd0474-0040,nzd0474-0041,nzd0474-0042,nzd0474-0043,nzd0474-0044,nzd0474-0045,nzd0474-0046,nzd0474-0047,nzd0474-0048,nzd0474-0049,nzd0474-0050,nzd0474-0051,nzd0474-0052,nzd0474-0053,nzd0474-0054,nzd0474-0055,nzd0474-0056,nzd0474-0057,nzd0474-0058,nzd0474-0059,nzd0474-0060,nzd0474-0061,nzd0474-0062,nzd0474-0063,nzd0474-0064,nzd0474-0065,nzd0474-0066,nzd0474-0067,nzd0474-0068,nzd0474-0069,nzd0474-0070,nzd0474-0071,nzd0474-0072,satname
1999-08-26 22:07:08+00:00,338.26,347.89,330.85,337.34,339.31,329.20,331.69,336.62,340.51,347.11,353.98,347.92,338.51,346.47,341.05,335.54,321.93,316.76,319.16,318.29,316.42,301.26,305.57,308.44,298.86,297.39,299.27,305.00,300.20,296.16,293.80,288.44,295.06,295.16,301.50,301.31,296.47,298.12,307.08,304.72,308.32,303.81,313.06,320.90,320.38,328.77,326.48,326.89,334.18,328.70,315.57,317.62,318.16,326.04,330.78,337.86,327.14,320.60,314.96,319.09,330.80,335.49,339.87,347.83,346.49,350.48,343.72,349.34,350.28,351.57,352.67,352.44,347.39,L7
1999-11-30 22:06:59+00:00,335.35,339.37,335.37,333.53,332.18,317.92,321.99,330.19,337.18,348.84,350.97,346.44,339.90,346.26,345.78,332.24,326.43,323.14,326.03,324.78,321.44,316.18,313.46,312.81,308.84,304.58,308.55,306.85,308.18,,,,,,,,,,,,,,,,,,,333.17,335.78,335.08,326.57,320.15,323.12,321.62,322.91,331.82,324.36,314.62,320.72,324.17,324.27,337.68,348.04,344.48,345.90,346.07,348.22,349.42,351.74,346.52,347.85,352.04,352.63,L7
1999-12-16 22:07:09+00:00,,,,,,,,,,,,,340.47,344.81,341.46,331.52,323.80,322.52,317.62,318.97,321.01,316.67,316.06,318.72,312.50,301.66,304.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-05-08 22:06:20+00:00,347.17,353.03,343.12,344.45,341.26,329.95,327.49,333.14,338.85,346.73,349.37,342.12,338.63,346.71,342.86,334.02,325.44,323.21,319.60,326.20,323.16,319.31,322.07,321.47,315.71,306.87,307.67,305.09,308.42,306.13,301.49,302.88,301.78,302.58,304.37,304.66,300.53,308.06,314.07,316.40,318.24,318.16,321.62,327.96,324.61,336.57,335.02,336.33,340.97,336.57,318.50,318.12,316.88,320.85,326.78,327.38,320.03,318.28,316.87,320.14,326.31,339.32,340.63,343.93,347.06,345.15,344.33,348.25,347.97,347.16,342.87,335.07,333.60,L7
2000-06-25 22:05:55+00:00,,345.57,,346.59,348.88,334.06,,,,,358.98,352.38,347.13,,,344.08,334.93,329.61,332.85,326.69,325.40,317.02,322.63,325.72,314.89,310.99,314.31,,311.63,313.96,,307.54,310.02,309.70,306.94,311.05,307.40,309.47,317.49,325.68,317.76,323.32,324.32,328.19,331.66,340.93,337.51,341.01,341.69,338.10,331.59,322.71,320.05,321.17,325.91,329.75,324.60,314.94,319.11,322.47,334.23,346.32,344.16,347.48,346.75,343.90,354.83,350.08,352.77,347.41,346.82,345.18,342.31,L7
2000-07-27 22:05:24+00:00,275.27,343.89,339.62,341.79,342.37,331.80,330.66,340.09,343.97,353.87,357.64,350.92,343.30,350.04,342.12,334.57,326.76,328.12,334.25,334.18,335.15,330.78,329.18,328.42,315.23,312.51,315.88,316.31,313.88,313.54,312.27,313.87,317.24,316.60,320.94,326.41,320.54,322.31,326.32,325.99,326.95,325.67,327.90,329.23,328.28,335.65,337.82,342.86,346.17,339.04,330.76,325.86,327.45,326.96,328.48,334.34,327.17,321.40,321.19,328.23,330.17,338.58,344.61,346.44,350.08,346.42,353.24,351.59,353.49,348.18,344.72,341.34,361.03,L7
2000-08-12 22:05:17+00:00,314.78,337.00,324.50,328.59,325.48,318.31,317.14,324.37,330.53,337.24,344.92,340.27,336.17,340.50,334.97,323.48,311.48,311.02,310.08,312.78,310.67,306.48,310.77,307.20,302.19,296.87,297.58,296.14,297.00,300.26,292.27,288.77,294.21,291.79,294.06,295.76,294.74,296.16,302.20,303.64,310.05,306.95,308.02,311.51,312.50,325.86,324.13,325.48,326.95,319.80,309.20,307.37,308.64,311.10,317.28,318.35,309.04,303.52,305.17,307.32,315.50,325.44,330.45,330.61,331.24,334.90,331.79,336.68,337.76,339.68,332.03,332.63,334.12,L7
2000-09-20 22:10:50+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.76,348.09,341.96,341.77,346.99,336.88,330.17,322.27,322.72,322.34,328.23,333.25,322.36,318.56,323.52,331.13,337.83,350.56,349.28,346.94,347.65,349.36,352.08,350.14,353.32,344.59,354.56,355.19,357.60,L7
2000-12-18 22:04:37+00:00,338.53,345.47,341.17,342.75,343.84,331.60,327.98,332.21,338.32,353.07,353.80,358.78,354.48,356.68,354.68,340.53,333.45,330.00,330.32,330.51,326.71,322.06,321.31,326.92,320.78,316.91,319.41,317.46,315.62,316.73,307.30,314.51,312.80,307.04,309.25,312.26,311.30,321.73,321.20,331.23,323.76,327.61,330.91,333.11,330.10,346.28,340.55,345.90,348.45,344.25,330.80,321.83,323.32,323.63,328.70,336.24,327.05,320.02,324.49,328.47,330.01,343.30,347.29,348.03,347.42,340.17,348.00,345.75,351.30,345.60,344.80,344.30,348.50,L7
2001-01-03 22:04:36+00:00,332.15,341.77,332.50,333.13,334.37,319.52,320.45,329.42,334.54,344.84,351.11,343.00,335.26,346.83,346.83,333.86,324.26,317.96,,,,,,,,,,,,,,,,,,,,,,,,,,317.32,321.42,332.03,328.05,328.72,338.21,331.67,322.28,318.85,317.65,313.83,316.92,,,,,,,,,,,,,,,,,,,L7
