dates,tide
1999-07-02 22:00:00+00:00,0.31
1999-08-03 22:00:00+00:00,0.7
1999-08-12 21:50:00+00:00,-0.26
1999-09-04 22:00:00+00:00,0.19
1999-09-20 22:00:00+00:00,-0.08
1999-09-29 21:50:00+00:00,0.77
1999-10-22 22:00:00+00:00,-0.61
1999-12-09 22:00:00+00:00,0.01
1999-12-25 22:00:00+00:00,0.53
2000-01-26 22:00:00+00:00,0.81
2000-02-11 22:00:00+00:00,0.72
2000-02-27 22:00:00+00:00,0.27
2000-03-14 22:00:00+00:00,0.08
2000-03-30 22:00:00+00:00,-0.26
2000-04-15 22:00:00+00:00,-0.7
2000-05-01 22:00:00+00:00,-0.66
2000-05-17 22:00:00+00:00,-0.58
2000-06-02 22:00:00+00:00,-0.65
2000-06-18 22:00:00+00:00,-0.08
2000-08-05 22:00:00+00:00,0.74
2000-09-22 22:00:00+00:00,0.26
2000-10-24 22:00:00+00:00,-0.63
2000-11-25 22:00:00+00:00,-0.52
2000-12-11 22:00:00+00:00,-0.56
2000-12-20 21:50:00+00:00,-0.22
2001-01-05 21:50:00+00:00,-0.21
2001-02-06 21:50:00+00:00,-0.83
2001-02-13 22:00:00+00:00,0.82
2001-03-10 21:50:00+00:00,-0.21
2001-05-20 22:00:00+00:00,-0.62
2001-06-05 22:00:00+00:00,-0.6
2001-07-16 21:50:00+00:00,-0.24
2001-08-08 22:00:00+00:00,0.41
2001-08-24 22:00:00+00:00,0.81
2001-09-25 22:00:00+00:00,0.29
2001-11-05 21:50:00+00:00,0.67
2001-12-14 22:00:00+00:00,-0.55
2001-12-30 22:00:00+00:00,-0.47
2002-03-04 22:00:00+00:00,0.81
2002-05-07 22:00:00+00:00,-0.41
2002-06-24 22:00:00+00:00,-0.64
2002-08-20 21:50:00+00:00,-0.62
2002-08-27 22:00:00+00:00,0.48
2002-09-12 22:00:00+00:00,0.86
2002-10-14 21:50:00+00:00,0.23
2002-10-23 21:50:00+00:00,0.15
2002-10-30 22:00:00+00:00,0.31
2002-12-26 21:50:00+00:00,0.72
2003-01-02 22:00:00+00:00,-0.58
2003-01-18 22:00:00+00:00,-0.37
2003-01-27 21:50:00+00:00,-0.21
2003-02-12 21:50:00+00:00,-0.33
2003-02-19 22:00:00+00:00,0.39
2003-02-28 21:50:00+00:00,-0.67
2003-03-23 22:00:00+00:00,0.76
2003-04-08 22:00:00+00:00,0.4
2003-05-03 21:50:00+00:00,0.09
2003-07-21 21:40:00+00:00,0.23
2003-07-29 22:00:00+00:00,-0.41
2003-07-30 21:40:00+00:00,-0.11
2003-08-06 21:40:00+00:00,0.15
2003-08-30 22:00:00+00:00,0.25
2003-10-17 22:00:00+00:00,0.57
2003-10-26 21:50:00+00:00,-0.3
2003-11-18 22:00:00+00:00,0.28
2003-12-12 21:50:00+00:00,0.5
2003-12-13 21:50:00+00:00,0.63
2003-12-20 22:00:00+00:00,-0.59
2003-12-21 21:40:00+00:00,-0.8
2003-12-28 21:50:00+00:00,0.86
2004-01-14 21:50:00+00:00,0.65
