dates,tide
1999-07-18 22:00:00+00:00,0.51
1999-10-22 22:00:00+00:00,-0.67
1999-12-09 22:00:00+00:00,0.55
1999-12-25 22:00:00+00:00,1.09
2000-03-14 22:00:00+00:00,-0.35
2000-03-30 22:00:00+00:00,-0.46
2000-05-01 22:00:00+00:00,-0.65
2000-06-18 22:00:00+00:00,0.36
2000-10-24 22:00:00+00:00,-0.75
2000-12-11 22:00:00+00:00,0.11
2001-03-01 22:00:00+00:00,0.54
2001-06-05 22:00:00+00:00,-0.2
2001-06-21 22:00:00+00:00,-0.1
2001-08-24 21:50:00+00:00,0.51
2001-10-11 21:50:00+00:00,-0.37
2002-01-31 21:50:00+00:00,1.1
2002-04-05 21:50:00+00:00,-0.28
2002-05-23 21:50:00+00:00,-0.86
2002-08-27 21:50:00+00:00,0.62
2002-10-14 21:50:00+00:00,-0.32
2002-12-01 21:50:00+00:00,-0.76
2003-01-02 21:50:00+00:00,0.1
2003-01-18 21:50:00+00:00,0.29
2003-07-21 21:40:00+00:00,-0.22
2003-08-06 21:40:00+00:00,-0.48
2003-10-17 21:50:00+00:00,0.27
2003-10-25 21:40:00+00:00,0.09
2003-11-02 21:50:00+00:00,-0.34
2003-11-18 21:50:00+00:00,-0.27
2003-12-04 21:50:00+00:00,-0.53
2004-01-05 21:50:00+00:00,-0.19
2004-01-21 22:00:00+00:00,0.02
2004-02-06 21:50:00+00:00,0.35
2004-02-14 21:40:00+00:00,-0.28
2004-03-01 21:40:00+00:00,-0.39
2004-03-17 21:40:00+00:00,-0.59
2004-03-25 21:50:00+00:00,0.68
2004-04-02 21:40:00+00:00,-0.48
2004-04-18 21:50:00+00:00,-0.11
2004-05-04 21:50:00+00:00,-0.09
2004-05-12 21:50:00+00:00,-0.43
2004-05-20 21:50:00+00:00,0.37
2004-05-28 21:50:00+00:00,-0.39
2004-06-21 21:50:00+00:00,0.52
2004-06-29 22:00:00+00:00,-0.9
2004-07-07 21:50:00+00:00,0.5
2004-07-23 21:50:00+00:00,0.41
2004-08-08 21:50:00+00:00,-0.2
2004-08-16 21:50:00+00:00,0.16
2004-09-25 21:50:00+00:00,-0.76
2005-01-15 21:50:00+00:00,0.72
2005-02-08 22:00:00+00:00,-0.01
2005-02-16 21:50:00+00:00,-0.08
2005-02-24 22:00:00+00:00,0.33
2005-04-21 21:50:00+00:00,-0.49
2005-04-29 22:00:00+00:00,0.58
2005-05-23 21:50:00+00:00,-0.13
2005-06-08 21:50:00+00:00,0.38
2005-08-03 22:00:00+00:00,-0.39
2005-08-19 21:50:00+00:00,-0.18
2005-10-06 21:50:00+00:00,0.73
2005-12-09 22:00:00+00:00,-0.21
2006-02-11 22:00:00+00:00,-0.13
2006-02-19 22:00:00+00:00,0.51
2006-03-15 22:00:00+00:00,0.34
2006-04-08 22:00:00+00:00,-0.51
2006-05-26 22:00:00+00:00,-0.34
2006-06-27 22:00:00+00:00,0.4
2006-07-13 22:00:00+00:00,0.68
2006-07-21 22:00:00+00:00,-0.77
2006-08-22 22:00:00+00:00,-0.33
2006-09-07 22:00:00+00:00,-0.26
2006-09-23 22:00:00+00:00,0.29
2006-12-13 21:50:00+00:00,-0.14
2007-02-14 22:00:00+00:00,-0.5
2007-03-02 22:00:00+00:00,-0.15
2007-03-18 22:00:00+00:00,-0.16
2007-04-19 22:00:00+00:00,0.75
2007-05-05 22:00:00+00:00,0.53
2007-09-18 22:00:00+00:00,0.34
2007-09-26 22:00:00+00:00,-0.24
2007-10-12 22:00:00+00:00,0.38
2007-11-13 22:00:00+00:00,0.72
2008-01-16 22:00:00+00:00,-0.02
2008-02-01 22:00:00+00:00,-0.31
2008-03-04 22:00:00+00:00,-0.48
2008-04-21 22:00:00+00:00,0.31
2008-05-07 22:00:00+00:00,0.68
2008-08-27 21:50:00+00:00,-0.81
2008-09-28 21:50:00+00:00,-0.23
2008-12-25 21:50:00+00:00,-0.21
2009-03-23 22:00:00+00:00,-0.48
2009-04-08 22:00:00+00:00,-0.31
2009-05-10 22:00:00+00:00,0.32
2009-07-13 22:00:00+00:00,0.42
2009-07-29 22:00:00+00:00,-0.11
2009-12-12 22:00:00+00:00,-0.61
2010-01-05 22:00:00+00:00,0.94
2010-01-13 22:00:00+00:00,-0.22
2010-03-26 22:00:00+00:00,-0.76
2010-04-11 22:00:00+00:00,-0.5
2010-05-29 22:00:00+00:00,0.36
2010-06-30 22:00:00+00:00,0.6
2010-10-04 22:00:00+00:00,-0.8
2010-11-05 22:00:00+00:00,-0.33
2010-12-31 22:00:00+00:00,-0.63
2011-01-16 22:00:00+00:00,-0.5
2011-02-01 22:00:00+00:00,-0.22
2011-02-25 22:00:00+00:00,-0.03
2011-08-20 22:00:00+00:00,0.36
2011-09-05 22:00:00+00:00,-0.1
2011-10-23 22:00:00+00:00,-0.75
2012-01-27 22:00:00+00:00,0.88
2012-03-15 22:00:00+00:00,-0.05
2012-04-16 22:00:00+00:00,-0.66
2012-05-02 22:00:00+00:00,-0.8
2012-05-11 21:50:00+00:00,0.43
2012-07-05 22:00:00+00:00,0.53
2012-08-06 22:00:00+00:00,0.76
2012-08-22 22:00:00+00:00,0.83
2012-10-25 22:00:00+00:00,-0.65
2012-11-26 22:00:00+00:00,-0.36
2012-12-12 22:00:00+00:00,-0.37
2012-12-28 22:00:00+00:00,0.22
2013-04-11 22:10:00+00:00,0.31
2013-05-29 22:10:00+00:00,0.83
2013-06-22 22:00:00+00:00,-0.6
2013-06-30 22:10:00+00:00,-0.02
2013-07-08 22:00:00+00:00,0.04
2013-07-24 22:00:00+00:00,0.6
2013-08-17 22:10:00+00:00,-0.82
2013-08-25 22:00:00+00:00,0.84
2013-09-02 22:10:00+00:00,-0.59
2013-10-20 22:10:00+00:00,0.43
2013-11-05 22:10:00+00:00,0.67
2013-12-07 22:10:00+00:00,1.04
2013-12-15 22:00:00+00:00,-0.33
2014-01-24 22:10:00+00:00,0.16
2014-02-01 22:00:00+00:00,0.81
2014-02-09 22:10:00+00:00,-0.44
2014-02-25 22:10:00+00:00,-0.68
2014-03-05 22:00:00+00:00,0.92
